POS,Club,PTS,P,W,D,L,GF,GA,GD,Trend,Unnamed: 11
1,JUVENTUS JUV,73,34,23,4,7,59,32,27,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
2,LAZIO LAZ,63,34,19,6,9,69,34,35,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
3,PARMA PAR,63,34,18,9,7,51,31,20,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
4,MILAN MIL,60,34,17,9,8,53,32,21,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
5,ROMA ROM,59,34,16,11,7,46,25,21,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
6,INTER INT,52,34,14,10,10,39,34,5,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
7,NAPOLI NAP,51,34,13,12,9,40,45,-5,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
8,SAMPDORIA SAM,50,34,13,11,10,51,37,14,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
9,CAGLIARI CAG,49,34,13,10,11,40,39,1,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
10,FIORENTINA FIO,47,34,12,11,11,61,57,4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
11,TORINO TOR,45,34,12,9,13,44,48,-4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
12,BARI BAR,44,34,12,8,14,40,43,-3,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
13,CREMONESE CRE,41,34,11,8,15,35,38,-3,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
14,PADOVA PAD,40,34,12,4,18,37,58,-21,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
15,GENOA GEN,40,34,10,10,14,34,49,-15,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
16,FOGGIA FOG,34,34,8,10,16,32,50,-18,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
17,REGGIANA REG,18,34,4,6,24,24,56,-32,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
18,BRESCIA BRE,12,34,2,6,26,18,65,-47,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
