#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Real Madrid,87,38,45,26,9,3,70,25
2,Barcelone,82,38,48,25,7,6,86,38
3,Atlético,70,38,24,18,16,4,51,27
4,Séville,70,38,20,19,13,6,54,34
5,Villarreal,60,38,14,18,6,14,63,49
6,Real Sociedad,56,38,8,16,8,14,56,48
7,Grenade,56,38,7,16,8,14,52,45
8,Getafe,54,38,6,14,12,12,43,37
9,Valence,53,38,-7,14,11,13,46,53
10,Osasuna,52,38,-8,13,13,12,46,54
11,Bilbao,51,38,3,13,12,13,41,38
12,Levante,49,38,-6,14,7,17,47,53
13,Valladolid,42,38,-11,9,15,14,32,43
14,Eibar,42,38,-17,11,9,18,39,56
15,Betis,41,38,-12,10,11,17,48,60
16,Alavés,39,38,-25,10,9,19,34,59
17,Celta Vigo,37,38,-12,7,16,15,37,49
18,Leganes,36,38,-21,8,12,18,30,51
19,Majorque,33,38,-25,9,6,23,40,65
20,Espanyol,25,38,-31,5,10,23,27,58
