#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Barcelone,88,38,50,28,4,6,70,20
2,Real Madrid,78,38,39,24,6,8,75,36
3,Atlético,77,38,37,23,8,7,70,33
4,Real Sociedad,71,38,16,21,8,9,51,35
5,Villarreal,64,38,19,19,7,12,59,40
6,Betis,60,38,5,17,9,12,46,41
7,Osasuna,53,38,-5,15,8,15,37,42
8,Bilbao,51,38,4,14,9,15,47,43
9,Majorque,50,38,-6,14,8,16,37,43
10,Girona,49,38,3,13,10,15,58,55
11,Vallecano,49,38,-8,13,10,15,45,53
12,Séville,49,38,-7,13,10,15,47,54
13,Celta Vigo,43,38,-10,11,10,17,43,53
14,Cadix,42,38,-23,10,12,16,30,53
15,Getafe,42,38,-11,10,12,16,34,45
16,Valence,42,38,-3,11,9,18,42,45
17,Almería,41,38,-16,11,8,19,49,65
18,Valladolid,40,38,-30,11,7,20,33,63
19,Espanyol,37,38,-17,8,13,17,52,69
20,Elche,25,38,-37,5,10,23,30,67
