#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Barcelone,87,38,70,27,6,5,105,35
2,Real Madrid,78,38,31,25,3,10,83,52
3,Séville,70,38,15,21,7,10,54,39
4,Atlético,67,38,23,20,7,11,80,57
5,Villarreal,65,38,7,18,11,9,61,54
6,Valence,62,38,14,18,8,12,68,54
7,La Coruña,58,38,1,16,10,12,48,47
8,Malaga,55,38,-4,15,10,13,55,59
9,Majorque,51,38,-7,14,9,15,53,60
10,Espanyol,47,38,-3,12,11,15,46,49
11,Almería,46,38,-16,13,7,18,45,61
12,Santander,46,38,1,12,10,16,49,48
13,Bilbao,44,38,-15,12,8,18,47,62
14,Gijon,43,38,-32,14,1,23,47,79
15,Osasuna,43,38,-6,10,13,15,41,47
16,Valladolid,43,38,-12,12,7,19,46,58
17,Getafe,42,38,-6,10,12,16,50,56
18,Betis,42,38,-7,10,12,16,51,58
19,Numancia,35,38,-31,10,5,23,38,69
20,Huelva,33,38,-23,8,9,21,34,57
