#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Barcelone,91,38,83,29,4,5,112,29
2,Real Madrid,90,38,76,28,6,4,110,34
3,Atlético,88,38,45,28,4,6,63,18
4,Villarreal,64,38,9,18,10,10,44,35
5,Bilbao,62,38,13,18,8,12,58,45
6,Celta Vigo,60,38,-8,17,9,12,51,59
7,Séville,52,38,1,14,10,14,51,50
8,Malaga,48,38,3,12,12,14,38,35
9,Real Sociedad,48,38,-3,13,9,16,45,48
10,Betis,45,38,-18,11,12,15,34,52
11,Las Palmas,44,38,-8,12,8,18,45,53
12,Valence,44,38,-2,11,11,16,46,48
13,Eibar,43,38,-12,11,10,17,49,61
14,Espanyol,43,38,-34,12,7,19,40,74
15,La Coruña,42,38,-16,8,18,12,45,61
16,Grenade,39,38,-23,10,9,19,46,69
17,Gijon,39,38,-22,10,9,19,40,62
18,Vallecano,38,38,-21,9,11,18,52,73
19,Getafe,36,38,-30,9,9,20,37,67
20,Levante,32,38,-33,8,8,22,37,70
