#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Atlético,86,38,42,26,8,4,67,25
2,Real Madrid,84,38,39,25,9,4,67,28
3,Barcelone,79,38,47,24,7,7,85,38
4,Séville,77,38,20,24,5,9,53,33
5,Real Sociedad,62,38,21,17,11,10,59,38
6,Betis,61,38,0,17,10,11,50,50
7,Villarreal,58,38,16,15,13,10,60,44
8,Celta Vigo,53,38,-2,14,11,13,55,57
9,Grenade,46,38,-18,13,7,18,47,65
10,Bilbao,46,38,4,11,13,14,46,42
11,Osasuna,44,38,-11,11,11,16,37,48
12,Cadix,44,38,-22,11,11,16,36,58
13,Valence,43,38,-3,10,13,15,50,53
14,Levante,41,38,-11,9,14,15,46,57
15,Getafe,38,38,-15,9,11,18,28,43
16,Alavés,38,38,-21,9,11,18,36,57
17,Elche,36,38,-21,8,12,18,34,55
18,Huesca,34,38,-19,7,13,18,34,53
19,Valladolid,31,38,-23,5,16,17,34,57
20,Eibar,30,38,-23,6,12,20,29,52
