#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Barcelone,96,38,74,30,6,2,95,21
2,Real Madrid,92,38,69,29,5,4,102,33
3,Valence,71,38,20,21,8,9,64,44
4,Villarreal,62,38,10,18,8,12,54,44
5,Atlético,58,38,9,17,7,14,62,53
6,Bilbao,58,38,4,18,4,16,59,55
7,Séville,58,38,1,17,7,14,62,61
8,Espanyol,49,38,-9,15,4,19,46,55
9,Osasuna,47,38,-1,13,8,17,45,46
10,Gijon,47,38,-7,11,14,13,35,42
11,Malaga,46,38,-14,13,7,18,54,68
12,Santander,46,38,-15,12,10,16,41,56
13,Saragosse,45,38,-13,12,9,17,40,53
14,Levante,45,38,-11,12,9,17,41,52
15,Real Sociedad,45,38,-17,14,3,21,49,66
16,Getafe,44,38,-11,12,8,18,49,60
17,Majorque,44,38,-15,12,8,18,41,56
18,La Coruña,43,38,-16,10,13,15,31,47
19,Hércules,35,38,-24,9,8,21,36,60
20,Almería,30,38,-34,6,12,20,36,70
