Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,FC NANTES,68,34,21,5,8,58,36,22
2,OLYMPIQUE LYONNAIS,64,34,17,13,4,57,30,27
3,LOSC LILLE,59,34,16,11,7,43,27,16
4,FC GIRONDINS DE BORDEAUX,57,34,15,12,7,48,33,15
5,C.S. SEDAN ARDENNES,52,34,14,10,10,47,40,7
6,STADE RENNAIS FC,50,34,15,5,14,46,37,9
7,ESTAC TROYES,46,34,11,13,10,45,47,-2
8,SC BASTIA,45,34,13,6,15,45,41,4
9,PARIS SAINT-GERMAIN,44,34,12,8,14,44,45,-1
10,EN AVANT GUINGAMP,44,34,11,11,12,40,48,-8
11,AS MONACO,43,34,12,7,15,53,50,3
12,FC METZ,42,34,11,9,14,35,44,-9
13,AJ AUXERRE,41,34,11,8,15,31,41,-10
14,RC LENS,40,34,9,13,12,37,39,-2
15,OLYMPIQUE DE MARSEILLE,40,34,11,7,16,31,40,-9
16,AS SAINT-ÉTIENNE,37,34,9,10,15,43,56,-13
17,TOULOUSE FC,34,34,8,10,16,34,50,-16
18,RC STRASBOURG ALSACE,29,34,7,8,19,28,61,-33
