Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,FC GIRONDINS DE BORDEAUX,80,38,24,8,6,64,34,30
2,OLYMPIQUE DE MARSEILLE,77,38,22,11,5,67,35,32
3,OLYMPIQUE LYONNAIS,71,38,20,11,7,52,29,23
4,TOULOUSE FC,64,38,16,16,6,45,27,18
5,LOSC LILLE,64,38,17,13,8,51,39,12
6,PARIS SAINT-GERMAIN,64,38,19,7,12,49,38,11
7,STADE RENNAIS FC,61,38,15,16,7,42,34,8
8,AJ AUXERRE,55,38,16,7,15,35,35,0
9,OGC NICE,50,38,13,11,14,40,41,-1
10,FC LORIENT,45,38,10,15,13,47,47,0
11,AS MONACO,45,38,11,12,15,41,45,-4
12,VALENCIENNES FC,44,38,10,14,14,35,42,-7
13,GRENOBLE FOOT 38,44,38,10,14,14,24,37,-13
14,FC SOCHAUX-MONTBÉLIARD,42,38,10,12,16,40,48,-8
15,AS NANCY LORRAINE,42,38,10,12,16,38,47,-9
16,LE MANS FC,40,38,10,10,18,43,54,-11
17,AS SAINT-ÉTIENNE,40,38,11,7,20,40,56,-16
18,STADE MALHERBE CAEN,37,38,8,13,17,42,49,-7
19,FC NANTES,37,38,9,10,19,33,54,-21
20,HAVRE ATHLETIC CLUB,26,38,7,5,26,30,67,-37
