Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,FC GIRONDINS DE BORDEAUX,72,34,22,6,6,66,29,37
2,OLYMPIQUE DE MARSEILLE,71,34,21,8,5,56,28,28
3,OLYMPIQUE LYONNAIS,63,34,18,9,7,51,31,20
4,AS MONACO,62,34,18,8,8,52,32,20
5,STADE RENNAIS FC,59,34,17,8,9,45,38,7
6,RC LENS,49,34,14,7,13,46,43,3
7,FC NANTES,48,34,12,12,10,40,34,6
8,MONTPELLIER HÉRAULT SC,43,34,11,10,13,53,50,3
9,PARIS SAINT-GERMAIN,39,34,10,9,15,34,35,-1
10,FC METZ,39,34,9,12,13,28,37,-9
11,AS NANCY LORRAINE,39,34,10,9,15,35,45,-10
12,RC STRASBOURG ALSACE,38,34,8,14,12,30,36,-6
13,SC BASTIA,38,34,10,8,16,37,46,-9
14,AJ AUXERRE,37,34,9,10,15,40,45,-5
15,HAVRE ATHLETIC CLUB,35,34,8,11,15,23,38,-15
16,FC LORIENT,35,34,8,11,15,33,49,-16
17,FC SOCHAUX-MONTBÉLIARD,33,34,6,15,13,30,54,-24
18,TOULOUSE FC,29,34,6,11,17,24,53,-29
