Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,OLYMPIQUE LYONNAIS,66,34,20,6,8,62,32,30
2,RC LENS,64,34,18,10,6,55,30,25
3,AJ AUXERRE,59,34,16,11,7,48,38,10
4,PARIS SAINT-GERMAIN,58,34,15,13,6,43,24,19
5,LOSC LILLE,56,34,15,11,8,39,32,7
6,FC GIRONDINS DE BORDEAUX,50,34,14,8,12,34,31,3
7,ESTAC TROYES,47,34,13,8,13,40,35,5
8,FC SOCHAUX-MONTBÉLIARD,46,34,12,10,12,41,40,1
9,OLYMPIQUE DE MARSEILLE,44,34,11,11,12,34,39,-5
10,FC NANTES,43,34,12,7,15,35,41,-6
11,SC BASTIA,41,34,12,5,17,38,44,-6
12,STADE RENNAIS FC,41,34,11,8,15,40,51,-11
13,MONTPELLIER HÉRAULT SC,40,34,9,13,12,28,31,-3
14,C.S. SEDAN ARDENNES,39,34,8,15,11,35,39,-4
15,AS MONACO,39,34,9,12,13,36,41,-5
16,EN AVANT GUINGAMP,35,34,9,8,17,34,57,-23
17,FC METZ,33,34,9,6,19,31,47,-16
18,FC LORIENT,31,34,7,10,17,43,64,-21
