Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,OLYMPIQUE DE MARSEILLE,78,38,23,9,6,69,36,33
2,OLYMPIQUE LYONNAIS,72,38,20,12,6,64,38,26
3,AJ AUXERRE,71,38,20,11,7,42,29,13
4,LOSC LILLE,70,38,21,7,10,72,40,32
5,MONTPELLIER HÉRAULT SC,69,38,20,9,9,50,40,10
6,FC GIRONDINS DE BORDEAUX,64,38,19,7,12,58,40,18
7,FC LORIENT,58,38,16,10,12,54,42,12
8,AS MONACO,55,38,15,10,13,39,45,-6
9,STADE RENNAIS FC,53,38,14,11,13,52,41,11
10,VALENCIENNES FC,52,38,14,10,14,50,50,0
11,RC LENS,48,38,12,12,14,40,44,-4
12,AS NANCY LORRAINE,48,38,13,9,16,46,53,-7
13,PARIS SAINT-GERMAIN,47,38,12,11,15,50,46,4
14,TOULOUSE FC,47,38,12,11,15,36,36,0
15,OGC NICE,44,38,11,11,16,41,57,-16
16,FC SOCHAUX-MONTBÉLIARD,41,38,11,8,19,28,52,-24
17,AS SAINT-ÉTIENNE,40,38,10,10,18,27,45,-18
18,LE MANS FC,32,38,8,8,22,36,59,-23
19,U.S. BOULOGNE COTE D'OPALE,31,38,7,10,21,31,62,-31
20,GRENOBLE FOOT 38,23,38,5,8,25,31,61,-30
