Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,LOSC LILLE,76,38,21,13,4,68,36,32
2,OLYMPIQUE DE MARSEILLE,68,38,18,14,6,62,39,23
3,OLYMPIQUE LYONNAIS,64,38,17,13,8,61,40,21
4,PARIS SAINT-GERMAIN,60,38,15,15,8,56,41,15
5,FC SOCHAUX-MONTBÉLIARD,58,38,17,7,14,60,43,17
6,STADE RENNAIS FC,56,38,15,11,12,38,35,3
7,FC GIRONDINS DE BORDEAUX,51,38,12,15,11,43,42,1
8,TOULOUSE FC,50,38,14,8,16,38,36,2
9,AJ AUXERRE,49,38,10,19,9,45,41,4
10,AS SAINT-ÉTIENNE,49,38,12,13,13,46,47,-1
11,FC LORIENT,49,38,12,13,13,46,48,-2
12,VALENCIENNES FC,48,38,10,18,10,45,41,4
13,AS NANCY LORRAINE,48,38,13,9,16,43,48,-5
14,MONTPELLIER HÉRAULT SC,47,38,12,11,15,32,43,-11
15,STADE MALHERBE CAEN,46,38,11,13,14,46,51,-5
16,STADE BRESTOIS 29,46,38,11,13,14,36,43,-7
17,OGC NICE,46,38,11,13,14,33,48,-15
18,AS MONACO,44,38,9,17,12,36,40,-4
19,RC LENS,35,38,7,14,17,35,58,-23
20,A.C. ARLES - AVIGNON,20,38,3,11,24,21,70,-49
