POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,86,38,26,8,4,67,27,40
2,MILAN MIL,79,38,23,10,5,63,28,35
3,INTER INT,72,38,18,18,2,65,37,28
4,UDINESE UDI,62,38,17,11,10,56,40,16
5,SAMPDORIA SAM,61,38,17,10,11,42,29,13
6,PALERMO PAL,53,38,12,17,9,48,44,4
7,MESSINA MES,48,38,12,12,14,44,52,-8
8,ROMA ROM,45,38,11,12,15,55,58,-3
9,LIVORNO LIV,45,38,11,12,15,49,60,-11
10,LAZIO LAZ,44,38,11,11,16,48,53,-5
11,LECCE LEC,44,38,10,14,14,66,73,-7
12,CAGLIARI CAG,44,38,10,14,14,51,60,-9
13,REGGINA RGI,44,38,10,14,14,36,45,-9
14,ROBUR SIENA SIE,43,38,9,16,13,44,55,-11
15,CHIEVOVERONA CHI,43,38,11,10,17,32,49,-17
16,FIORENTINA FIO,42,38,9,15,14,42,50,-8
17,PARMA PAR,42,38,10,12,16,48,65,-17
18,BOLOGNA BOL,42,38,9,15,14,33,36,-3
19,BRESCIA BRE,41,38,11,8,19,37,54,-17
20,ATALANTA ATA,35,38,8,11,19,34,45,-11
