POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,84,38,23,15,0,68,20,48
2,MILAN MIL,80,38,24,8,6,74,33,41
3,UDINESE UDI,64,38,18,10,10,52,35,17
4,LAZIO LAZ,62,38,18,8,12,56,47,9
5,NAPOLI NAP,61,38,16,13,9,66,46,20
6,INTER INT,58,38,17,7,14,58,55,3
7,ROMA ROM,56,38,16,8,14,60,54,6
8,PARMA PAR,56,38,15,11,12,54,53,1
9,BOLOGNA BOL,51,38,13,12,13,41,43,-2
10,CHIEVOVERONA CHI,49,38,12,13,13,35,45,-10
11,CATANIA CAT,48,38,11,15,12,47,52,-5
12,ATALANTA ATA,46,38,13,13,12,41,43,-2
13,FIORENTINA FIO,46,38,11,13,14,37,43,-6
14,ROBUR SIENA SIE,44,38,11,11,16,45,45,0
15,CAGLIARI CAG,43,38,10,13,15,37,46,-9
16,PALERMO PAL,43,38,11,10,17,52,62,-10
17,GENOA GEN,42,38,11,9,18,50,69,-19
18,LECCE LEC,36,38,8,12,18,40,56,-16
19,NOVARA NOV,32,38,7,11,20,35,65,-30
20,CESENA CES,22,38,4,10,24,24,60,-36
