POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,73,34,21,10,3,60,24,36
2,JUVENTUS JUV,65,34,19,8,7,58,35,23
3,LAZIO LAZ,59,34,17,8,9,66,38,28
4,FIORENTINA FIO,59,34,17,8,9,53,41,12
5,ROMA ROM,58,34,16,10,8,51,34,17
6,PARMA PAR,58,34,16,10,8,44,31,13
7,INTER INT,54,34,15,9,10,51,30,21
8,SAMPDORIA SAM,52,34,14,10,10,59,47,12
9,L.R. VICENZA LRV,49,34,13,10,11,36,37,-1
10,CAGLIARI CAG,41,34,11,8,15,34,47,-13
11,UDINESE UDI,41,34,11,8,15,41,49,-8
12,NAPOLI NAP,41,34,10,11,13,28,41,-13
13,ATALANTA ATA,39,34,11,6,17,38,50,-12
14,PIACENZA PIA,37,34,9,10,15,31,48,-17
15,BARI BAR,32,34,8,8,18,49,71,-22
16,TORINO TOR,29,34,6,11,17,28,46,-18
17,CREMONESE CRE,27,34,5,12,17,37,57,-20
18,PADOVA PAD,24,34,7,3,24,41,79,-38
