POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,102,38,33,3,2,80,23,57
2,ROMA ROM,85,38,26,7,5,72,25,47
3,NAPOLI NAP,78,38,23,9,6,77,39,38
4,FIORENTINA FIO,65,38,19,8,11,65,44,21
5,INTER INT,60,38,15,15,8,62,39,23
6,PARMA PAR,58,38,15,13,10,58,46,12
7,TORINO TOR,57,38,15,12,11,58,48,10
8,MILAN MIL,57,38,16,9,13,57,49,8
9,LAZIO LAZ,56,38,15,11,12,54,54,0
10,HELLAS VERONA VER,54,38,16,6,16,62,68,-6
11,ATALANTA ATA,50,38,15,5,18,43,51,-8
12,SAMPDORIA SAM,45,38,12,9,17,48,62,-14
13,UDINESE UDI,44,38,12,8,18,46,57,-11
14,GENOA GEN,44,38,11,11,16,41,50,-9
15,CAGLIARI CAG,39,38,9,12,17,34,53,-19
16,CHIEVOVERONA CHI,36,38,10,6,22,34,54,-20
17,SASSUOLO SAS,34,38,9,7,22,43,72,-29
18,CATANIA CAT,32,38,8,8,22,34,66,-32
19,BOLOGNA BOL,29,38,5,14,19,28,58,-30
20,LIVORNO LIV,25,38,6,7,25,39,77,-38
