POS,Club,PTS,P,W,D,L,GF,GA,GD
1,LAZIO LAZ,72,34,21,9,4,64,33,31
2,JUVENTUS JUV,71,34,21,8,5,46,20,26
3,MILAN MIL,61,34,16,13,5,65,40,25
4,INTER INT,58,34,17,7,10,58,36,22
5,PARMA PAR,58,34,16,10,8,52,37,15
6,ROMA ROM,54,34,14,12,8,57,34,23
7,FIORENTINA FIO,51,34,13,12,9,48,38,10
8,UDINESE UDI,50,34,13,11,10,55,45,10
9,HELLAS VERONA VER,43,34,10,13,11,40,45,-5
10,PERUGIA PER,42,34,12,6,16,36,52,-16
11,BOLOGNA BOL,40,34,9,13,12,32,39,-7
12,REGGINA RGI,40,34,9,13,12,31,42,-11
13,LECCE LEC,40,34,10,10,14,33,49,-16
14,BARI BAR,39,34,10,9,15,34,48,-14
15,TORINO TOR,36,34,8,12,14,35,47,-12
16,VENEZIA VEN,26,34,6,8,20,30,60,-30
17,CAGLIARI CAG,22,34,3,13,18,29,54,-25
18,PIACENZA PIA,21,34,4,9,21,19,45,-26
