POS,Club,PTS,P,W,D,L,GF,GA,GD
1,INTER INT,85,38,25,10,3,69,26,43
2,ROMA ROM,82,38,24,10,4,72,37,35
3,JUVENTUS JUV,72,38,20,12,6,72,37,35
4,FIORENTINA FIO,66,38,19,9,10,55,39,16
5,MILAN MIL,64,38,18,10,10,66,38,28
6,SAMPDORIA SAM,60,38,17,9,12,56,46,10
7,UDINESE UDI,57,38,16,9,13,48,53,-5
8,NAPOLI NAP,50,38,14,8,16,50,53,-3
9,ATALANTA ATA,48,38,12,12,14,52,56,-4
10,GENOA GEN,48,38,13,9,16,44,52,-8
11,PALERMO PAL,47,38,12,11,15,47,57,-10
12,LAZIO LAZ,46,38,11,13,14,47,51,-4
13,ROBUR SIENA SIE,44,38,9,17,12,40,45,-5
14,CAGLIARI CAG,42,38,11,9,18,40,56,-16
15,TORINO TOR,40,38,8,16,14,36,49,-13
16,REGGINA RGI,40,38,9,13,16,37,56,-19
17,CATANIA CAT,37,38,8,13,17,33,45,-12
18,EMPOLI EMP,36,38,9,9,20,29,52,-23
19,PARMA PAR,34,38,7,13,18,42,62,-20
20,LIVORNO LIV,30,38,6,12,20,35,60,-25
