POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,65,34,17,14,3,51,24,27
2,PARMA PAR,63,34,18,9,7,41,26,15
3,INTER INT,59,34,15,14,5,51,35,16
4,LAZIO LAZ,55,34,15,10,9,54,37,17
5,UDINESE UDI,54,34,15,9,10,53,41,12
6,SAMPDORIA SAM,53,34,14,11,9,60,46,14
7,BOLOGNA BOL,49,34,13,10,11,50,44,6
8,L.R. VICENZA LRV,47,34,12,11,11,43,38,5
9,FIORENTINA FIO,45,34,10,15,9,46,41,5
10,ATALANTA ATA,44,34,11,11,12,44,46,-2
11,MILAN MIL,43,34,11,10,13,43,45,-2
12,ROMA ROM,41,34,10,11,13,46,47,-1
13,NAPOLI NAP,41,34,9,14,11,38,45,-7
14,PIACENZA PIA,37,34,7,16,11,29,45,-16
15,CAGLIARI CAG,37,34,9,10,15,45,55,-10
16,PERUGIA PER,37,34,10,7,17,48,62,-14
17,HELLAS VERONA VER,27,34,6,9,19,38,64,-26
18,REGGIANA REG,19,34,2,13,19,28,67,-39
