POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,50,34,19,12,3,36,15,21
2,JUVENTUS JUV,47,34,17,13,4,58,25,33
3,SAMPDORIA SAM,44,34,18,8,8,64,39,25
4,LAZIO LAZ,44,34,17,10,7,55,40,15
5,PARMA PAR,41,34,17,7,10,50,35,15
6,NAPOLI NAP,36,34,12,12,10,41,35,6
7,ROMA ROM,35,34,10,15,9,35,30,5
8,TORINO TOR,34,34,11,12,11,39,37,2
9,FOGGIA FOG,33,34,10,13,11,46,46,0
10,CREMONESE CRE,32,34,9,14,11,41,41,0
11,GENOA GEN,32,34,8,16,10,32,40,-8
12,CAGLIARI CAG,32,34,10,12,12,39,48,-9
13,INTER INT,31,34,11,9,14,46,45,1
14,REGGIANA REG,31,34,10,11,13,29,37,-8
15,PIACENZA PIA,30,34,8,14,12,32,43,-11
16,UDINESE UDI,28,34,7,14,13,35,48,-13
17,ATALANTA ATA,21,34,5,11,18,35,65,-30
18,LECCE LEC,11,34,3,5,26,28,72,-44
