POS,Club,PTS,P,W,D,L,GF,GA,GD
1,ROMA ROM,75,34,22,9,3,68,33,35
2,JUVENTUS JUV,73,34,21,10,3,61,27,34
3,LAZIO LAZ,69,34,21,6,7,65,36,29
4,PARMA PAR,56,34,16,8,10,51,31,20
5,INTER INT,51,34,14,9,11,47,47,0
6,MILAN MIL,49,34,12,13,9,56,46,10
7,ATALANTA ATA,44,34,10,14,10,38,34,4
8,BRESCIA BRE,44,34,10,14,10,44,42,2
9,FIORENTINA FIO,43,34,10,13,11,53,52,1
10,BOLOGNA BOL,43,34,11,10,13,49,53,-4
11,PERUGIA PER,42,34,10,12,12,49,53,-4
12,UDINESE UDI,38,34,11,5,18,49,59,-10
13,LECCE LEC,37,34,8,13,13,40,54,-14
14,HELLAS VERONA VER,37,34,10,7,17,40,59,-19
15,REGGINA RGI,37,34,10,7,17,32,49,-17
16,L.R. VICENZA LRV,36,34,9,9,16,37,51,-14
17,NAPOLI NAP,36,34,8,12,14,35,51,-16
18,BARI BAR,20,34,5,5,24,31,68,-37
