POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,45,30,17,11,2,43,14,29
2,NAPOLI NAP,42,30,18,6,6,55,27,28
3,ROMA ROM,38,30,15,8,7,39,26,13
4,SAMPDORIA SAM,37,30,13,11,6,41,30,11
5,INTER INT,32,30,11,10,9,42,35,7
6,JUVENTUS JUV,31,30,11,9,10,35,30,5
7,TORINO TOR,31,30,8,15,7,33,30,3
8,FIORENTINA FIO,28,30,9,10,11,29,33,-4
9,CESENA CES,26,30,7,12,11,23,32,-9
10,HELLAS VERONA VER,25,30,7,11,12,23,30,-7
11,COMO COM,25,30,6,13,11,22,37,-15
12,ASCOLI ASC,24,30,6,12,12,30,37,-7
13,PISA PIS,24,30,6,12,12,23,30,-7
14,PESCARA PES,24,30,8,8,14,27,44,-17
15,AVELLINO AVE,23,30,5,13,12,19,39,-20
16,EMPOLI EMP,20,30,6,13,11,20,30,-10
