POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,95,38,30,5,3,86,24,62
2,NAPOLI NAP,91,38,28,7,3,77,29,48
3,ROMA ROM,77,38,23,8,7,61,28,33
4,INTER INT,72,38,20,12,6,66,30,36
5,LAZIO LAZ,72,38,21,9,8,89,49,40
6,MILAN MIL,64,38,18,10,10,56,42,14
7,ATALANTA ATA,60,38,16,12,10,57,39,18
8,FIORENTINA FIO,57,38,16,9,13,54,46,8
9,TORINO TOR,54,38,13,15,10,54,46,8
10,SAMPDORIA SAM,54,38,16,6,16,56,60,-4
11,SASSUOLO SAS,43,38,11,10,17,29,59,-30
12,GENOA GEN,41,38,11,8,19,33,43,-10
13,CHIEVOVERONA CHI,40,38,10,10,18,36,59,-23
14,UDINESE UDI,40,38,12,4,22,48,63,-15
15,BOLOGNA BOL,39,38,11,6,21,40,52,-12
16,CAGLIARI CAG,39,38,11,6,21,33,61,-28
17,SPAL SPA,38,38,8,14,16,39,59,-20
18,CROTONE CRO,35,38,9,8,21,40,66,-26
19,HELLAS VERONA VER,25,38,7,4,27,30,78,-48
20,BENEVENTO BEN,21,38,6,3,29,33,84,-51
