POS,Club,PTS,P,W,D,L,GF,GA,GD
1,INTER INT,76,38,23,7,8,68,30,38
2,ROMA ROM,69,38,19,12,7,70,42,28
3,MILAN MIL,58,38,28,4,6,85,31,54
4,CHIEVOVERONA CHI,54,38,13,15,10,54,49,5
5,PALERMO PAL,52,38,13,13,12,50,52,-2
6,LIVORNO LIV,49,38,12,13,13,37,44,-7
7,PARMA PAR,45,38,12,9,17,46,60,-14
8,EMPOLI EMP,45,38,13,6,19,47,61,-14
9,FIORENTINA FIO,44,38,22,8,8,66,41,25
10,ASCOLI ASC,43,38,9,16,13,43,53,-10
11,UDINESE UDI,43,38,11,10,17,40,54,-14
12,SAMPDORIA SAM,41,38,10,11,17,47,51,-4
13,REGGINA RGI,41,38,11,8,19,39,65,-26
14,CAGLIARI CAG,39,38,8,15,15,42,55,-13
15,ROBUR SIENA SIE,39,38,9,12,17,42,60,-18
16,LAZIO LAZ,32,38,16,14,8,57,47,10
17,MESSINA MES,31,38,6,13,19,33,59,-26
18,LECCE LEC,29,38,7,8,23,30,57,-27
19,TREVISO TRE,21,38,3,12,23,24,56,-32
20,JUVENTUS *JUV *,0,38,27,10,1,71,24,47
