POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,71,34,20,11,3,64,23,41
2,ROMA ROM,70,34,19,13,2,58,24,34
3,INTER INT,69,34,20,9,5,62,35,27
4,MILAN MIL,55,34,14,13,7,47,33,14
5,CHIEVOVERONA CHI,54,34,14,12,8,57,52,5
6,LAZIO LAZ,53,34,14,11,9,50,37,13
7,BOLOGNA BOL,52,34,15,7,12,40,40,0
8,PERUGIA PER,46,34,13,7,14,38,46,-8
9,ATALANTA ATA,45,34,12,9,13,41,50,-9
10,PARMA PAR,44,34,12,8,14,43,47,-4
11,TORINO TOR,43,34,10,13,11,37,39,-2
12,PIACENZA PIA,42,34,11,9,14,49,43,6
13,BRESCIA BRE,40,34,9,13,12,43,52,-9
14,UDINESE UDI,40,34,11,7,16,41,52,-11
15,HELLAS VERONA VER,39,34,11,6,17,41,53,-12
16,LECCE LEC,28,34,6,10,18,36,56,-20
17,FIORENTINA FIO,22,34,5,7,22,29,63,-34
18,VENEZIA VEN,18,34,3,9,22,30,61,-31
