POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,50,34,18,14,2,65,32,33
2,INTER INT,46,34,17,12,5,59,36,23
3,PARMA PAR,41,34,16,9,9,47,34,13
4,JUVENTUS JUV,39,34,15,9,10,59,47,12
5,LAZIO LAZ,38,34,13,12,9,65,51,14
6,CAGLIARI CAG,37,34,14,9,11,45,33,12
7,SAMPDORIA SAM,36,34,12,12,10,50,48,2
8,ATALANTA ATA,36,34,14,8,12,42,44,-2
9,TORINO TOR,35,34,9,17,8,38,38,0
10,ROMA ROM,33,34,8,17,9,42,39,3
11,NAPOLI NAP,32,34,10,12,12,49,50,-1
12,FOGGIA FOG,32,34,10,12,12,39,55,-16
13,GENOA GEN,31,34,7,17,10,41,55,-14
14,UDINESE UDI,30,34,10,10,14,42,48,-6
15,BRESCIA BRE,30,34,9,12,13,36,44,-8
16,FIORENTINA FIO,30,34,8,14,12,53,56,-3
17,ANCONA MATELICA ANC,19,34,6,7,21,39,73,-34
18,PESCARA PES,17,34,6,5,23,47,75,-28
