POS,Club,PTS,P,W,D,L,GF,GA,GD
1,INTER INT,84,38,25,9,4,70,32,38
2,JUVENTUS JUV,74,38,21,11,6,69,37,32
3,MILAN MIL,74,38,22,8,8,70,35,35
4,FIORENTINA FIO,68,38,21,5,12,53,38,15
5,GENOA GEN,68,38,19,11,8,56,39,17
6,ROMA ROM,63,38,18,9,11,64,61,3
7,UDINESE UDI,58,38,16,10,12,61,50,11
8,PALERMO PAL,57,38,17,6,15,57,50,7
9,CAGLIARI CAG,53,38,15,8,15,49,50,-1
10,LAZIO LAZ,50,38,15,5,18,46,55,-9
11,ATALANTA ATA,47,38,13,8,17,45,48,-3
12,NAPOLI NAP,46,38,12,10,16,43,45,-2
13,SAMPDORIA SAM,46,38,11,13,14,49,52,-3
14,ROBUR SIENA SIE,44,38,12,8,18,33,44,-11
15,CATANIA CAT,43,38,12,7,19,41,51,-10
16,CHIEVOVERONA CHI,38,38,8,14,16,35,49,-14
17,BOLOGNA BOL,37,38,9,10,19,43,62,-19
18,TORINO TOR,34,38,8,10,20,37,61,-24
19,REGGINA RGI,31,38,6,13,19,30,62,-32
20,LECCE LEC,30,38,5,15,18,37,67,-30
