POS,Club,PTS,P,W,D,L,GF,GA,GD
1,NAPOLI NAP,51,34,21,9,4,57,31,26
2,MILAN MIL,49,34,22,5,7,56,27,29
3,INTER INT,44,34,17,10,7,55,32,23
4,JUVENTUS JUV,44,34,15,14,5,56,36,20
5,SAMPDORIA SAM,43,34,16,11,7,46,26,20
6,ROMA ROM,41,34,14,13,7,45,40,5
7,ATALANTA ATA,35,34,12,11,11,36,43,-7
8,BOLOGNA BOL,34,34,9,16,9,29,36,-7
9,LAZIO LAZ,31,34,8,15,11,34,33,1
10,BARI BAR,31,34,6,19,9,34,37,-3
11,GENOA GEN,29,34,6,17,11,27,31,-4
12,FIORENTINA FIO,28,34,7,14,13,41,42,-1
13,CESENA CES,28,34,6,16,12,26,36,-10
14,LECCE LEC,28,34,10,8,16,29,46,-17
15,UDINESE UDI,27,34,6,15,13,37,51,-14
16,HELLAS VERONA VER,25,34,6,13,15,27,44,-17
17,CREMONESE CRE,23,34,5,13,16,29,50,-21
18,ASCOLI ASC,21,34,4,13,17,20,43,-23
