POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,82,38,24,10,4,65,24,41
2,INTER INT,76,38,23,7,8,69,42,27
3,NAPOLI NAP,70,38,21,7,10,59,39,20
4,UDINESE UDI,66,38,20,6,12,65,43,22
5,LAZIO LAZ,66,38,20,6,12,55,39,16
6,ROMA ROM,63,38,18,9,11,59,52,7
7,JUVENTUS JUV,58,38,15,13,10,57,47,10
8,PALERMO PAL,56,38,17,5,16,58,63,-5
9,FIORENTINA FIO,51,38,12,15,11,49,44,5
10,GENOA GEN,51,38,14,9,15,45,47,-2
11,CHIEVOVERONA CHI,46,38,11,13,14,38,40,-2
12,PARMA PAR,46,38,11,13,14,39,47,-8
13,CATANIA CAT,46,38,12,10,16,40,52,-12
14,CAGLIARI CAG,45,38,12,9,17,44,51,-7
15,CESENA CES,43,38,11,10,17,38,50,-12
16,BOLOGNA BOL,42,38,11,12,15,35,52,-17
17,LECCE LEC,41,38,11,8,19,46,66,-20
18,SAMPDORIA SAM,36,38,8,12,18,33,49,-16
19,BRESCIA BRE,32,38,7,11,20,34,52,-18
20,BARI BAR,24,38,5,9,24,27,56,-29
