POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,91,38,29,4,5,77,27,50
2,ROMA ROM,87,38,28,3,7,90,38,52
3,NAPOLI NAP,86,38,26,8,4,94,39,55
4,ATALANTA ATA,72,38,21,9,8,62,41,21
5,LAZIO LAZ,70,38,21,7,10,74,51,23
6,MILAN MIL,63,38,18,9,11,57,45,12
7,INTER INT,62,38,19,5,14,72,49,23
8,FIORENTINA FIO,60,38,16,12,10,63,57,6
9,TORINO TOR,53,38,13,14,11,71,66,5
10,SAMPDORIA SAM,48,38,12,12,14,49,55,-6
11,CAGLIARI CAG,47,38,14,5,19,55,76,-21
12,SASSUOLO SAS,46,38,13,7,18,58,63,-5
13,UDINESE UDI,45,38,12,9,17,47,56,-9
14,CHIEVOVERONA CHI,43,38,12,7,19,43,61,-18
15,BOLOGNA BOL,41,38,11,8,19,40,58,-18
16,GENOA GEN,36,38,9,9,20,38,64,-26
17,CROTONE CRO,34,38,9,7,22,34,58,-24
18,EMPOLI EMP,32,38,8,8,22,29,61,-32
19,PALERMO PAL,26,38,6,8,24,33,77,-44
20,PESCARA PES,18,38,3,9,26,37,81,-44
