POS,Club,PTS,P,W,D,L,GF,GA,GD
1,INTER INT,58,34,26,6,2,67,19,48
2,NAPOLI NAP,47,34,18,11,5,57,28,29
3,MILAN MIL,46,34,16,14,4,61,25,36
4,JUVENTUS JUV,43,34,15,13,6,51,36,15
5,SAMPDORIA SAM,39,34,14,11,9,43,25,18
6,ATALANTA ATA,36,34,11,14,9,37,32,5
7,FIORENTINA FIO,34,34,12,10,12,44,43,1
8,ROMA ROM,34,34,11,12,11,33,40,-7
9,LECCE LEC,31,34,8,15,11,25,35,-10
10,LAZIO LAZ,29,34,5,19,10,23,32,-9
11,HELLAS VERONA VER,29,34,5,19,10,18,27,-9
12,ASCOLI ASC,29,34,9,11,14,30,41,-11
13,CESENA CES,29,34,8,13,13,24,39,-15
14,BOLOGNA BOL,29,34,8,13,13,26,43,-17
15,TORINO TOR,27,34,8,11,15,37,49,-12
16,PESCARA PES,27,34,5,17,12,28,43,-15
17,PISA PIS,23,34,6,11,17,17,39,-22
18,COMO COM,22,34,6,10,18,24,49,-25
