POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,56,34,22,12,0,74,21,53
2,JUVENTUS JUV,48,34,18,12,4,45,22,23
3,TORINO TOR,43,34,14,15,5,42,20,22
4,NAPOLI NAP,42,34,15,12,7,56,40,16
5,ROMA ROM,40,34,13,14,7,37,31,6
6,SAMPDORIA SAM,38,34,11,16,7,38,31,7
7,PARMA PAR,38,34,11,16,7,32,28,4
8,INTER INT,37,34,10,17,7,28,28,0
9,FOGGIA FOG,35,34,12,11,11,58,58,0
10,LAZIO LAZ,34,34,11,12,11,43,40,3
11,ATALANTA ATA,34,34,10,14,10,31,33,-2
12,FIORENTINA FIO,32,34,10,12,12,44,41,3
13,CAGLIARI CAG,29,34,7,15,12,30,34,-4
14,GENOA GEN,29,34,9,11,14,35,47,-12
15,BARI BAR,22,34,6,10,18,26,47,-21
16,HELLAS VERONA VER,21,34,7,7,20,24,57,-33
17,CREMONESE CRE,20,34,5,10,19,27,49,-22
18,ASCOLI ASC,14,34,4,6,24,25,68,-43
