POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,82,34,25,7,2,65,24,41
2,ROMA ROM,71,34,21,8,5,68,19,49
3,JUVENTUS JUV,69,34,21,6,7,67,42,25
4,INTER INT,59,34,17,8,9,59,37,22
5,PARMA PAR,58,34,16,10,8,57,46,11
6,LAZIO LAZ,56,34,16,8,10,52,38,14
7,UDINESE UDI,50,34,13,11,10,44,40,4
8,SAMPDORIA SAM,46,34,11,13,10,40,42,-2
9,CHIEVOVERONA CHI,44,34,11,11,12,36,37,-1
10,LECCE LEC,41,34,11,8,15,43,56,-13
11,BRESCIA BRE,40,34,9,13,12,52,57,-5
12,BOLOGNA BOL,39,34,10,9,15,45,53,-8
13,REGGINA RGI,34,34,6,16,12,29,45,-16
14,ROBUR SIENA SIE,34,34,8,10,16,41,54,-13
15,PERUGIA PER,32,34,6,14,14,44,56,-12
16,MODENA MOD,30,34,6,12,16,27,46,-19
17,EMPOLI EMP,30,34,7,9,18,26,54,-28
18,ANCONA MATELICA ANC,13,34,2,7,25,21,70,-49
