POS,Club,PTS,P,W,D,L,GF,GA,GD
1,NAPOLI NAP,90,38,28,6,4,77,28,49
2,LAZIO LAZ,74,38,22,8,8,60,30,30
3,INTER INT,72,38,23,3,12,71,42,29
4,MILAN MIL,70,38,20,10,8,64,43,21
5,ATALANTA ATA,64,38,19,7,12,66,48,18
6,ROMA ROM,63,38,18,9,11,50,38,12
7,JUVENTUS *JUV *,62,38,22,6,10,56,33,23
8,FIORENTINA FIO,56,38,15,11,12,53,43,10
9,BOLOGNA BOL,54,38,14,12,12,53,49,4
10,TORINO TOR,53,38,14,11,13,42,41,1
11,MONZA MON,52,38,14,10,14,48,52,-4
12,UDINESE UDI,46,38,11,13,14,47,48,-1
13,SASSUOLO SAS,45,38,12,9,17,47,61,-14
14,EMPOLI EMP,43,38,10,13,15,37,49,-12
15,SALERNITANA SAL,42,38,9,15,14,48,62,-14
16,LECCE LEC,36,38,8,12,18,33,46,-13
17,HELLAS VERONA **VER **,31,38,7,10,21,31,59,-28
18,SPEZIA SPE,31,38,6,13,19,31,62,-31
19,CREMONESE CRE,27,38,5,12,21,36,69,-33
20,SAMPDORIA SAM,19,38,3,10,25,24,71,-47
