POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,73,34,23,4,7,59,32,27
2,LAZIO LAZ,63,34,19,6,9,69,34,35
3,PARMA PAR,63,34,18,9,7,51,31,20
4,MILAN MIL,60,34,17,9,8,53,32,21
5,ROMA ROM,59,34,16,11,7,46,25,21
6,INTER INT,52,34,14,10,10,39,34,5
7,NAPOLI NAP,51,34,13,12,9,40,45,-5
8,SAMPDORIA SAM,50,34,13,11,10,51,37,14
9,CAGLIARI CAG,49,34,13,10,11,40,39,1
10,FIORENTINA FIO,47,34,12,11,11,61,57,4
11,TORINO TOR,45,34,12,9,13,44,48,-4
12,BARI BAR,44,34,12,8,14,40,43,-3
13,CREMONESE CRE,41,34,11,8,15,35,38,-3
14,PADOVA PAD,40,34,12,4,18,37,58,-21
15,GENOA GEN,40,34,10,10,14,34,49,-15
16,FOGGIA FOG,34,34,8,10,16,32,50,-18
17,REGGIANA REG,18,34,4,6,24,24,56,-32
18,BRESCIA BRE,12,34,2,6,26,18,65,-47
