POS,Club,PTS,P,W,D,L,GF,GA,GD
1,INTER INT,82,38,24,10,4,75,34,41
2,ROMA ROM,80,38,24,8,6,68,41,27
3,MILAN MIL,70,38,20,10,8,60,39,21
4,SAMPDORIA SAM,67,38,19,10,9,49,41,8
5,PALERMO PAL,65,38,18,11,9,59,47,12
6,NAPOLI NAP,59,38,15,14,9,50,43,7
7,JUVENTUS JUV,55,38,16,7,15,55,56,-1
8,PARMA PAR,52,38,14,10,14,46,51,-5
9,GENOA GEN,51,38,14,9,15,57,61,-4
10,BARI BAR,50,38,13,11,14,49,49,0
11,FIORENTINA FIO,47,38,13,8,17,48,47,1
12,LAZIO LAZ,46,38,11,13,14,39,43,-4
13,CATANIA CAT,45,38,10,15,13,44,45,-1
14,CHIEVOVERONA CHI,44,38,12,8,18,37,42,-5
15,UDINESE UDI,44,38,11,11,16,54,59,-5
16,CAGLIARI CAG,44,38,11,11,16,56,58,-2
17,BOLOGNA BOL,42,38,10,12,16,42,55,-13
18,ATALANTA ATA,35,38,9,8,21,37,53,-16
19,ROBUR SIENA SIE,31,38,7,10,21,40,67,-27
20,LIVORNO LIV,29,38,7,8,23,27,61,-34
