POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,87,38,26,9,3,72,24,48
2,ROMA ROM,70,38,19,13,6,54,31,23
3,LAZIO LAZ,69,38,21,6,11,71,38,33
4,FIORENTINA FIO,64,38,18,10,10,61,46,15
5,NAPOLI NAP,63,38,18,9,11,70,54,16
6,GENOA GEN,59,38,16,11,11,62,47,15
7,SAMPDORIA SAM,56,38,13,17,8,48,42,6
8,INTER INT,55,38,14,13,11,59,48,11
9,TORINO TOR,54,38,14,12,12,48,45,3
10,MILAN MIL,52,38,13,13,12,56,50,6
11,PALERMO PAL,49,38,12,13,13,53,55,-2
12,SASSUOLO SAS,49,38,12,13,13,49,57,-8
13,HELLAS VERONA VER,46,38,11,13,14,49,65,-16
14,CHIEVOVERONA CHI,43,38,10,13,15,28,41,-13
15,EMPOLI EMP,42,38,8,18,12,46,52,-6
16,UDINESE UDI,41,38,10,11,17,43,56,-13
17,ATALANTA ATA,37,38,7,16,15,38,57,-19
18,CAGLIARI CAG,34,38,8,10,20,48,68,-20
19,CESENA CES,24,38,4,12,22,36,73,-37
20,PARMA PAR,19,38,6,8,24,33,75,-42
